month,power
1,8151543.60176595
2,6571503.40340169
3,6783206.04813639
4,4199539.47713216
5,5997746.86045329
6,9263393.37223307
7,8094909.70670573
8,6398492.86177572
9,4229191.19018555
10,3545692.67901611
11,5422806.94995117
12,5685032.81461589
