month,power
1,5450278.65165202
2,4768224.59012858
3,4344613.06131999
4,3262611.62764486
5,7843816.17451986
6,4686519.54054769
7,4812162.64963786
8,4979969.46189372
9,3267479.2335612
10,3299252.75170898
11,4876716.81799316
12,4930084.04246012
